key,name,operationalScope,iataCode,city,country,website,email,contactPhone
#base entity
airport-01,Aeropuerto Sevilla,REGIONAL,SEV,Sevilla,España,https://aeropuertosevilla.acme.com,aesevilla@gmail.com,+34603589521

#name
airport-02,Lorem ipsum dolor sit ame,REGIONAL,SEA,Sevilla,España,https://aeropuertosevilla.acme.com,aesevilla@gmail.com,+34603589521
airport-03,L,REGIONAL,AAA,Sevilla,España,https://aeropuertosevilla.acme.com,aesevilla@gmail.com,+34603589521
airport-04,Lo,REGIONAL,AAB,Sevilla,España,https://aeropuertosevilla.acme.com,aesevilla@gmail.com,+34603589521
airport-05,Lorem ipsum dolor sit amet  consectetur adipiscin,REGIONAL,AAC,Sevilla,España,https://aeropuertosevilla.acme.com,aesevilla@gmail.com,+34603589521
airport-06,Lorem ipsum dolor sit amet  consectetur adipiscing,DOMESTIC,AAD,Sevilla,España,https://aeropuertosevilla.acme.com,aesevilla@gmail.com,+34603589521
airport-07,โลเร็ม อิปซัม,DOMESTIC,AAE,Sevilla,España,https://aeropuertosevilla.acme.com,aesevilla@gmail.com,+34603589521
airport-08,لوريم إيبسوم,DOMESTIC,AAF,Sevilla,España,https://aeropuertosevilla.acme.com,aesevilla@gmail.com,+34603589521
airport-09,โลเร็ม อิปซัม,DOMESTIC,AAG,Sevilla,España,https://aeropuertosevilla.acme.com,aesevilla@gmail.com,+34603589521
airport-10,<marquee>Hacked</marquee>,DOMESTIC,AAH,Sevilla,España,https://aeropuertosevilla.acme.com,aesevilla@gmail.com,+34603589521
airport-11,' or 'A' = 'A ,DOMESTIC,AAI,Sevilla,España,https://aeropuertosevilla.acme.com,aesevilla@gmail.com,+34603589521
airport-12,<script>alert(‘Hacked!’);</script>,INTERNATIONAL,AAK,Sevilla,España,https://aeropuertosevilla.acme.com,aesevilla@gmail.com,+34603589521

#website
airport-13,Aeropuerto Sevilla,INTERNATIONAL,AAL,Sevilla,España,ftp://a,aesevilla@gmail.com,+34603589521
airport-14,Aeropuerto Sevilla,INTERNATIONAL,AAJ,Sevilla,España,ftp://a.b,aesevilla@gmail.com,+34603589521
airport-15,Aeropuerto Sevilla,INTERNATIONAL,AAM,Sevilla,España,http://www.lorem-ipsum.org/dolor/sit/amett/consectetur/adipiscing/elitr/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/,aesevilla@gmail.com,+34603589521
airport-16,Aeropuerto Sevilla,INTERNATIONAL,AAN,Sevilla,España,http://www.lorem-ipsum.org/dolor/sit/amett/consectetur/adipiscing/elite/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X,aesevilla@gmail.com,+34603589521
airport-17,Aeropuerto Sevilla,INTERNATIONAL,AAO,Sevilla,España,https://www.lorem-ipsum.org,aesevilla@gmail.com,+34603589521
airport-18,Aeropuerto Sevilla,INTERNATIONAL,AAP,Sevilla,España,ftp://www.lorem-ipsum.org,aesevilla@gmail.com,+34603589521
airport-19,Aeropuerto Sevilla,INTERNATIONAL,AAQ,Sevilla,España,http://www.lorem-ipsum.org/dolor/sit.html,aesevilla@gmail.com,+34603589521
airport-20,Aeropuerto Sevilla,INTERNATIONAL,AAR,Sevilla,España,http://www.lorem-ipsum.org/dolor/sit.html#dolor,aesevilla@gmail.com,+34603589521
airport-21,Aeropuerto Sevilla,INTERNATIONAL,AAS,Sevilla,España,http://example.org?a=1&b=2,aesevilla@gmail.com,+34603589521
airport-22,Aeropuerto Sevilla,INTERNATIONAL,AAT,Sevilla,España,http://example.org?,aesevilla@gmail.com,+34603589521
airport-23,Aeropuerto Sevilla,INTERNATIONAL,AAU,Sevilla,España,http://example.org?a,aesevilla@gmail.com,+34603589521
